,Has Twitter,Number of tweets in total,Twitter Handle,Twitter followers,Twitter following
274192,0,,,,
1113776,0,,,,
1116458,0,,,,
1125273,0,,,,
1126222,1,19190,malarianomoreuk,9121,2205
1130299,1,4549,trinitychelt,2357,335
1111064,0,,,,
1114460,1,565,LaserAwards,364,458
235668,1,1277,The_LJS,747,446
296453,0,,,,
312828,0,,,,
1118449,1,2349,NorwichMind,1927,551
220240,0,,,,
211953,1,1948,tghevents,979,770
1112705,0,,,,
1073334,0,,,,
326917,1,3146,TheSixteen,17107,421
1081420,1,6917,tauntonschool,5140,550
1091043,1,3940,CIFFchild,5629,794
1105768,0,,,,
526980,1,6740,lakelandarts,48821,1552
1105070,0,,,,
1105174,0,,,,
1105343,0,,,,
1093861,1,11072,IMC_UK,8106,7091
1106864,1,6764,safelives_,15191,2299
1081765,0,,,,
1103669,1,2432,KBB_EALtd,1340,1470
1106885,0,,,,
1088057,0,,,,
1112378,0,,,,
526564,0,,,,
1108677,1,5092,CumberlandLodge,2751,3550
502259,0,,,,
1110639,1,2242,KentMusic,3268,1723
290598,1,,hashtag,,
1110978,1,7371,AlbionInTheComm,5899,401
1098136,1,9733,canterburyccuni,17373,1023
326853,0,,,,
290533,0,,,,
1113285,0,,,,
1113612,1,8946,openawards,1592,2759
1113725,1,79021,SpursOfficial,3112029,345
256756,1,1026,HMSWarrior1860,2441,292
1113753,1,7779,spab1877,16213,710
264636,1,16252,rafbf,32704,1657
1113864,0,,,,
282464,0,,,,
287144,1,109,WiltonHousePMH,586,80
290118,0,,,,
1113382,0,,,,
1114282,0,,,,
278508,0,,,,
1114982,0,,,,
1116824,1,337,NewstrAid,306,281
1118310,1,4501,mu_foundation,185801,687
280577,0,,,,
1117681,0,,,,
1118773,0,,,,
273596,1,3696,livemusicnowuk,3989,2378
278136,0,,,,
1118916,0,,,,
1119819,1,11194,MakatonCharity,14279,1295
276669,1,3374,impactsussex,1783,1359
1119841,1,12081,CentreforCities,25000,3413
273924,0,,,,
260189,0,,,,
1118277,0,,,,
1123034,0,,,,
264809,0,,,,
258583,1,1353,Baring_Found,3497,426
1122269,0,,,,
260666,1,3651,bindt,2367,365
1120616,0,,,,
257237,0,,,,
1120113,1,3942,GsmithsCentre,5414,1674
256356,0,,,,
1123385,1,10893,chance2shine,15424,2299
236852,0,,,,
234520,0,,,,
1098740,1,24052,BromsSchool,5509,2130
1103609,0,,,,
1125751,1,9813,CherieBlairFndn,16490,852
1104715,0,,,,
233302,0,,,,
1101607,1,6922,HEAcademy,30463,3049
1124541,1,14392,andrewwommack,44042,65
232862,0,,,,
1110346,0,,,,
1104616,0,,,,
1126007,0,,,,
1101358,1,2993,SevenoaksSchool,2351,194
232567,0,,,,
1125771,0,,,,
1126675,0,,,,
230822,0,,,,
1126438,1,1366,DavidGHathaway,404,4
237778,0,,,,
1103955,1,25,NovalisTrust,71,31
227864,0,,,,
1127816,0,,,,
1128042,1,964,allsaintsww,785,148
229943,0,,,,
225151,1,30,E_L_M_C,194,9
200048,1,5924,mallgalleries,12648,2304
201480,0,,,,
206454,0,,,,
209299,1,5068,BoneJointPortal,11840,1179
1126863,1,12679,BUCSsport,34141,2784
1107144,1,4108,theriverstrust,8816,1075
1120657,0,,,,
1118295,0,,,,
1118102,1,3221,FourPawsUK,12256,7883
1107713,1,1148,OI_Opportunity,1829,543
1115156,1,1300,ennonline,1357,848
1107967,1,59,lwptrust,271,117
1114210,0,,,,
1108060,0,,,,
1111106,1,1895,RACPD,521,636
1115109,1,16235,womenforwomenuk,21689,5747
1113544,0,,,,
1120148,0,,,,
1096364,1,4086,aimeurope,2170,570
1107656,0,,,,
1106746,1,12249,Willow_Fdn,9421,3528
1109918,0,,,,
205658,0,,,,
1106349,1,11900,INASPinfo,5157,1943
1089333,1,11812,SAFCFoL,9782,1680
217484,1,2599,OurTownTrust,2420,471
233467,1,438,LondonBoardShec,345,818
1086989,0,,,,
1085052,1,17105,NewWineLondon,3220,166
1079599,0,,,,
1071752,1,1571,IPAonline,5270,1463
1104871,1,866,QEHSchool,1861,708
1104251,1,8185,NottsHigh,4138,455
1079358,0,,,,
1105085,0,,,,
1104324,1,18456,wearecyclinguk,46479,1626
1106234,1,5373,HIOWAA,10154,411
1104425,1,4307,BGSBristol,3373,335
1104917,1,11726,LFEonline,4682,1861
1108448,1,16658,livingstreets,19899,1508
1105017,0,,,,
1108687,0,,,,
1108295,1,4069,TheRAFClub,3977,1321
1077097,1,5065,ageuknorfolk,3466,2437
1108957,0,,,,
1110085,0,,,,
1073238,0,,,,
1105455,0,,,,
1110802,0,,,,
1066532,0,,,,
1110538,0,,,,
1059559,1,10578,Love_plants,31792,2883
1039417,1,872,ICNARC,2311,1134
1113263,1,4307,FIGOHQ,4387,1083
1042541,1,2106,worldort,1493,607
1045025,1,3571,FamilyCareTrust,1379,2349
1113409,1,887,mdauk_,1200,445
1014889,0,,,,
1114463,0,,,,
1115234,1,25252,CVQO,3791,1927
1017481,1,138,HousingTarget,216,537
1113486,1,3126,TheWaveLeisure,1090,787
1014798,0,,,,
1114995,0,,,,
1012691,1,4425,rehabgroup,2538,1878
1113868,0,,,,
1004774,1,12105,christianorguk,9758,8
1001923,0,,,,
1116973,1,8556,cabacharity,2471,1145
519889,1,5875,HOTAltd,980,905
1116657,0,,,,
1115976,1,1150,GraceDieuSchool,594,51
313750,1,5727,thomfound,4799,1031
1117330,0,,,,
1119540,1,6277,fralondon,3562,3379
327421,0,,,,
1119907,1,3473,ChafynGrove,2566,577
310288,1,6692,Holburne,7797,2029
1119995,0,,,,
1120927,0,,,,
307005,0,,,,
1117786,1,3542,MML_Head,369,381
298851,1,2279,WBTCNewbury,867,558
1121398,1,2120,SionSchool,758,236
297366,0,,,,
1122689,1,4794,RCollEM,11588,340
273795,1,5521,SEBiology,4070,153
1123492,1,9745,WorldObesity,11522,528
1123540,1,3476,hospitalofgod,890,745
271665,0,,,,
1125803,1,12949,roomtoread,588262,3562
264839,1,3510,CongFed,671,743
1126578,1,8232,WorldMonuments,26295,1245
206563,0,,,,
226487,0,,,,
1121739,1,80,Ballinger_CT,187,184
207031,0,,,,
1121284,0,,,,
209200,0,,,,
1107737,1,5401,Fusion_LS,3888,1279
1105500,0,,,,
1093989,0,,,,
1110286,1,9406,NewHallSchool,4207,516
1127488,0,,,,
208743,0,,,,
1109081,0,,,,
1088521,1,2599,OurTownTrust,2420,471
1109476,0,,,,
208701,1,16925,actionmedres,10546,8535
1109508,1,3344,caterham_head,1457,181
1105544,0,,,,
305962,1,3987,armycadetsuk,11836,729
215468,1,331,NSRAHQ,241,137
1070684,0,,,,
216652,1,31232,_bto,80748,4022
1032491,0,,,,
219858,0,,,,
1108516,1,6586,BoothEveWknd,5232,946
1045315,1,9577,medicalaidpal,12312,891
1059293,0,,,,
226446,1,8658,Seafarers_UK,13710,2631
210169,0,,,,
1067881,1,1786,ageuknotts,2256,646
802868,1,244,newtec83,98,58
225910,0,,,,
231670,1,3643,openairtheatre,31865,486
1030623,1,7763,britpharmsoc,5954,1113
237623,0,,,,
517722,1,6794,Techniquest,8591,4587
248198,0,,,,
516673,1,4086,tbtlake,7570,828
277275,0,,,,
247858,0,,,,
259480,1,1650,JBDCharity,1289,1415
254937,1,33000,savebutterflies,55582,1751
248502,1,86,StNBristol,204,118
272307,0,,,,
249315,0,,,,
261430,1,3259,WatermillTh,13855,1151
259678,1,12443,Qualityworld,7487,2057
1127977,0,,,,
261307,1,5143,VictoryServices,7811,3499
269275,1,17566,iom3,6784,1271
1121062,0,,,,
264501,1,7172,PTHospice,2791,827
1108363,0,,,,
1120640,0,,,,
281963,1,2773,StWilfridsChi,2087,682
1117535,0,,,,
1113101,1,2433,DiamedicaUK,945,2914
286554,1,2489,NDevonHospice,3330,538
282303,0,,,,
1111364,1,15588,laureussport,156399,1359
280681,1,17097,@StLukesPlymouth,5860,1536
1099331,0,,,,
1095749,1,21747,UnLtd,41444,1982
245861,1,9104,DioceseofSheff,3355,480
1092977,1,4933,CovSportsTrust,2680,1717
295072,1,3896,RevitaliseNow,7260,1557
297489,1,10326,TRAID,8019,4192
1059475,1,17566,iom3,6784,1271
311697,1,814,ShaftesburyYP,597,1381
1060001,0,,,,
328206,1,21885,woman_kind,27517,3604
1041237,0,,,,
509294,1,7806,SLHYork,2250,660
511149,1,8032,@ChatsworthHouse,42564,2143
1014051,1,10218,RainbowsHospice,7512,2439
801130,1,21279,mentalhealth,168060,4604
1034961,1,8311,AnvilArts,5884,2507
1109826,0,,,,
1111612,1,13017,TeamSportsAid,11237,2729
1109650,1,1339,ColfesSchool,1140,228
701697,1,560,AnheddauCyf,275,138
1110964,1,838,@SeckfordFdn,505,387
1113902,1,11289,MIFestival,48660,2032
1126997,0,,,,
1110311,1,1799,stmarys_college,2205,255
1110703,1,17453,BoltonSchool,6733,603
1112477,0,,,,
1115098,0,,,,
1114383,0,,,,
1117185,1,7557,TheSocialInvest,24734,4624
1109970,1,1107,nbleisure,746,297
1115884,1,2807,rendcombcollege,929,216
1111853,0,,,,
1097899,1,9679,energyinstitute,13431,531
1115875,0,,,,
1080186,1,2940,impulseleisure,18782,1284
1115975,1,917,ratcliffeColl,889,37
1082139,1,56582,trf,36213,3634
1117126,1,4067,FED_Manchester,1537,1537
1117186,0,,,,
1090981,0,,,,
1117998,1,2076,MountSpinkhill,1328,209
1058593,1,6540,ymcastpauls,2912,3074
1120372,0,,,,
1050779,0,,,,
1122183,1,1117,lilianfaithfull,505,355
1014305,0,,,,
1123869,0,,,,
1124463,1,1928,NuLSchoolUK,1894,119
1007002,1,2673,Belongvillages,955,330
1124523,1,5331,deafacademy,3170,2132
802047,1,7121,CardiffHalf,15374,2131
1125012,0,,,,
1126808,0,,,,
1129239,1,4294,TheChallenge_UK,8522,1211
1125375,1,3434,barney_school,2093,139
1125684,1,11302,opendoorsuk,11519,856
1126084,1,24549,westdeancollege,6932,1701
307892,1,13740,RSBCcharity,5600,3702
1105998,1,301,Smart_Giving,120,302
802872,1,16707,WhizzKidz,30446,9816
311060,1,1278,QueenswoodSch,967,128
1115562,1,3379,RishworthS,1333,310
312751,0,,,,
243877,1,11492,glyndebourne,34497,1327
502791,1,291,FairfieldIH,508,704
1098520,0,,,,
1114748,0,,,,
279567,1,,502390264401362945,,
1112775,1,4521,WEAadulted,6525,1497
1119613,0,,,,
1090393,1,21747,UnLtd,41444,1982
1089464,1,62611,CR_UK,323461,2871
1061582,1,749,Cranstoun_org,865,365
1120192,1,11456,yourstmarys,11846,471
1114424,1,4816,RGSNewcastle,3014,1135
1120597,1,5987,solsch1560,3672,405
1079555,0,,,,
1120608,1,4903,spfschools,1498,441
1123381,1,788,HSFCharity,377,337
1117282,0,,,,
1120644,1,4432,RGSWorcester,2205,487
1115843,0,,,,
1091222,1,4359,PlymouthMarine,10900,845
1125521,0,,,,
1105056,1,10567,muslimhandsuk,14604,171
1017336,0,,,,
233236,0,,,,
1089826,0,,,,
517954,1,5020,AutismEastMids,4968,3871
251234,1,6684,GlosDioc,3966,635
1120199,1,9778,stockportgs,4576,717
208745,0,,,,
1051681,1,25709,amnestyuk,257214,2434
1125485,1,4512,merchantscrosby,3839,730
313654,0,,,,
1000851,1,7196,UWT_UK,27336,122
1120005,0,,,,
212563,1,3783,Barts_Charity,2391,1116
1120654,1,5469,ThePerseSchool,3018,344
1124853,0,,,,
276886,0,,,,
206528,0,,,,
232810,0,,,,
223222,0,,,,
276673,1,1896,parhaminsussex,1797,936
1119619,1,586,StPaulsSchool,1032,55
1120920,1,35147,HelpforHeroes,521147,19698
275364,0,,,,
227228,0,,,,
274697,1,9430,TheatresTrust,20280,11986
203644,1,28024,catsprotection,104058,12067
1026981,0,,,,
1120090,1,871,CHSchoolHorsham,1716,237
1015136,0,,,,
272895,0,,,,
272258,1,23791,NASSchiefexec,4182,2424
1000897,0,,,,
205533,0,,,,
201687,0,,,,
268494,1,2046,asabeducation,883,546
1123956,0,,,,
262782,0,,,,
516988,1,2073,NaturalHereford,792,781
261887,0,,,,
285088,0,,,,
260274,0,,,,
242560,0,,,,
248076,0,,,,
270055,0,,,,
268210,0,,,,
277111,1,113,VSTnews,404,617
207996,1,1258,ufaw_1926,1930,943
221026,0,,,,
232257,0,,,,
232863,1,526,PrinknashCafe,210,167
236663,0,,,,
250157,1,1551,PrisonsWeek,1042,801
254250,0,,,,
239664,0,,,,
265703,1,63743,LegalActionGrp,19709,4059
245592,0,,,,
253425,0,,,,
235351,0,,,,
249696,0,,,,
212728,1,3800,Psychic_Studies,2195,474
235354,0,,,,
234436,1,1740,JesuXPIPassio,450,768
251745,0,,,,
234473,0,,,,
233705,1,6462,medicalertuk,4146,2288
233599,0,,,,
233280,1,2100,brfonline,1380,450
232986,0,,,,
232667,0,,,,
229665,0,,,,
231748,1,1471,horsetrust,3297,405
229571,0,,,,
265242,0,,,,
231673,0,,,,
229501,0,,,,
231920,1,482,iccukorg,1667,0
252126,0,,,,
264126,0,,,,
228185,0,,,,
229663,0,,,,
266071,0,,,,
235939,0,,,,
221356,0,,,,
274376,0,,,,
225979,0,,,,
235225,0,,,,
224258,0,,,,
222436,1,8491,BhamDogsHome,5797,876
209376,0,,,,
207037,0,,,,
278068,0,,,,
280700,0,,,,
212755,1,2393,ashburnhamplace,1211,412
284424,0,,,,
221819,1,6728,NorthWildlife,4081,828
214011,0,,,,
290312,0,,,,
227350,0,,,,
293069,0,,,,
291495,0,,,,
299000,1,3971,cornwallairamb,7064,1502
228382,1,2505,wolfsonfdn,5370,1374
298761,1,812,CroydonCAB,610,568
1048081,1,322,MaidstoneDayCtr,656,462
232785,0,,,,
226936,0,,,,
523546,0,,,,
220466,0,,,,
225870,0,,,,
215869,1,7503,BIR_News,4416,1137
226624,1,862,RSPCAburyandold,678,1075
207275,0,,,,
227151,0,,,,
237005,1,2114,wecuk,716,430
232955,0,,,,
232190,0,,,,
233264,0,,,,
232177,0,,,,
215027,0,,,,
233131,0,,,,
232909,0,,,,
210920,1,797,CathChildW,594,753
255115,1,2812,SamaritansLeeds,923,817
207790,1,1605,WestKirbySchool,509,248
230750,0,,,,
275592,0,,,,
240417,0,,,,
221284,0,,,,
236829,0,,,,
230729,0,,,,
206862,1,42716,SoilAssociation,95650,4084
270682,0,,,,
223798,1,9012,urbansaints,11948,8061
223753,0,,,,
234925,0,,,,
220235,1,3226,sjomannskirken,3681,3435
254840,0,,,,
271847,1,585,ConcordInst,80,123
214293,0,,,,
206754,0,,,,
234201,0,,,,
287308,0,,,,
202269,0,,,,
280599,0,,,,
276613,0,,,,
206003,0,,,,
203787,0,,,,
271041,0,,,,
209776,1,1826,RASeafarers,577,422
250114,0,,,,
218711,1,8933,cumbriawildlife,12521,4974
208731,1,9937,unionjackclub,13245,4598
1011102,1,2584,FaunaFloraInt,32779,3086
200424,0,,,,
301684,0,,,,
215863,1,862,shrineolw,2738,429
215721,1,19044,prayerandhealth,3958,1942
296358,0,,,,
280857,0,,,,
217868,1,13366,YWTrust,10789,3115
275353,0,,,,
1043300,0,,,,
279787,0,,,,
1022915,0,,,,
220690,0,,,,
224741,0,,,,
301681,1,2238,Young_Bristol,2806,1058
274392,0,,,,
219163,1,15032,belgradetheatre,32557,2452
277843,0,,,,
801479,0,,,,
233082,1,2345,TrinBibSoc,778,0
327215,1,10855,PAN_UK,5371,4022
232633,1,1745,pontifex,17872516,8
209746,1,16861,PhysicsNews,167370,982
516150,0,,,,
519801,0,,,,
500280,1,21282,samaritans,113000,2549
223318,1,11,OblatesUKIRE,22,150
308284,0,,,,
212479,0,,,,
256681,0,,,,
512847,0,,,,
200500,1,7101,yvonnearnaud,7455,1174
211585,1,10713,ThePhySoc,10439,1885
254052,0,,,,
302611,0,,,,
257779,0,,,,
211239,0,,,,
328263,1,1054,cccworthing,605,1786
211869,1,2938,trinityhouse_uk,7460,1136
282543,0,,,,
210807,1,18049,YorksWildlife,21918,4118
294037,0,,,,
252123,0,,,,
287118,0,,,,
517778,0,,,,
207740,0,,,,
1013065,0,,,,
205594,1,12912,BathCDH,12682,792
312142,1,4850,HertfordMuseum,3449,658
204330,1,15869,bbowt,8184,884
1049603,0,,,,
283462,0,,,,
207100,1,9261,RochesterBridge,1611,699
209563,0,,,,
1040760,1,9181,ukscouting,64589,2295
211905,0,,,,
205096,1,2444,TheArkRSPCA,921,352
214135,0,,,,
1042449,1,354,hornsea_rescue,325,274
233809,0,,,,
1036873,0,,,,
216401,1,40848,NSPCC,215774,3698
233140,1,3708,StAsaphDiocese,1227,156
226063,0,,,,
211850,1,6463,ToynbeeHall,5165,2462
1040613,0,,,,
326383,0,,,,
1042395,1,1761,francobritish,2593,1934
233748,1,1724,MbroDiocese,967,187
303471,1,3065,KentScouts,2848,33
1041710,0,,,,
1048856,0,,,,
232098,0,,,,
276520,1,744,stellasvoiceUK,262,41
1031870,0,,,,
236803,0,,,,
1035810,1,4948,EndometriosisUK,13354,454
286145,1,9565,the_halle,23307,1591
207773,1,3271,CharterhouseEC1,2414,1391
1036775,0,,,,
233977,0,,,,
1006247,1,184,BraveheartsNE,56,15
1031348,0,,,,
1031735,0,,,,
232835,0,,,,
1043574,1,12597,BTGroup,45829,930
229771,0,,,,
1027405,0,,,,
228235,0,,,,
1026408,0,,,,
1022035,0,,,,
235822,1,1518,hospstjohneliz,2253,975
223882,1,9565,the_halle,23307,1591
1023641,1,740,WEScoutsSMT,288,119
509779,0,,,,
206243,1,285,TheRNBT,371,194
1025379,0,,,,
298178,1,494,DrivingMob,141,506
1027997,0,,,,
802363,0,,,,
212424,1,18524,theRSAorg,69180,7884
800983,0,,,,
1027978,0,,,,
1008566,1,233,YorkChildcare,215,56
207544,0,,,,
1076610,0,,,,
1003108,0,,,,
1008128,0,,,,
1002624,0,,,,
1093692,1,2559,northfieldch,857,1396
1001428,1,2073,HospiceatHomeGA,754,1123
1063998,0,,,,
1066733,0,,,,
287686,1,2595,HyderiCentre,1570,172
272334,0,,,,
313338,0,,,,
328498,0,,,,
1074708,0,,,,
507027,0,,,,
1072881,0,,,,
523749,1,38,AlwoodleySocial,88,77
1002841,1,24147,axisweb,27080,7821
264072,0,,,,
522510,0,,,,
1077484,0,,,,
1005884,1,1268,leedswomensaid,3047,1153
307085,0,,,,
1027763,0,,,,
327802,0,,,,
296291,1,1163,scannappeal,429,701
1081459,1,2694,nfergus,154185,462
299154,1,1259,1ADASS,6194,225
277927,1,6345,SouthwarkLawCen,2043,4997
900239,0,,,,
236420,0,,,,
1001178,0,,,,
1072681,1,228,theific,220,0
508551,0,,,,
1000067,1,2800,trebahgarden,8746,176
1092584,0,,,,
1092795,0,,,,
327928,0,,,,
1093279,1,1146,Stitchesintime_,983,1190
1001599,0,,,,
208217,1,29848,PDSA_HQ,74424,4341
1094018,0,,,,
1000091,0,,,,
1092825,0,,,,
1000038,1,250,yeldall,281,73
518169,0,,,,
1090434,0,,,,
501407,0,,,,
900025,1,3817,maritimetrust,3989,1639
313741,0,,,,
1091347,0,,,,
1090773,1,693,gannepal,485,740
801682,0,,,,
293983,0,,,,
803012,1,423,JVMSseries,1354,2512
802450,0,,,,
800912,1,481,ageukwiltshire,945,484
702308,0,,,,
505444,0,,,,
277970,0,,,,
701800,0,,,,
306149,1,2192,YCWImpact,1104,533
1090995,0,,,,
700112,1,2526,highfieldscdf,1616,1616
1087519,0,,,,
529952,0,,,,
1079137,0,,,,
293003,0,,,,
1010764,1,483,daventrychoral,281,297
515804,1,3316,MalvHillsTrust,1635,533
1089247,0,,,,
1019669,0,,,,
509022,0,,,,
1002656,1,389,WarWidowsAssoc,636,367
514717,0,,,,
1087249,0,,,,
524875,0,,,,
327396,0,,,,
1081699,0,,,,
1085771,0,,,,
295833,0,,,,
504903,0,,,,
505921,0,,,,
1081691,1,4904,upourstreet,2417,287
308268,1,6435,Guiding_LaSER,2827,1042
313636,1,3204,MontessoriUK,6741,2113
519751,0,,,,
1085902,0,,,,
326374,1,1547,BritishBloodTS,1612,513
1089633,0,,,,
313439,1,2212,GFTU1,2259,4110
1080454,0,,,,
312752,0,,,,
1065632,1,2418,barrowhill41,5469,712
1057078,0,,,,
301636,0,,,,
1078058,0,,,,
285533,0,,,,
295173,1,1483,REMuseum,3192,1496
1080245,0,,,,
1059000,0,,,,
1080507,1,831,turnersyndsoc,1123,600
1059122,0,,,,
1074607,0,,,,
1085046,0,,,,
1074861,0,,,,
1090102,0,,,,
281415,1,73710,TheDesignTrust,61809,12636
303334,0,,,,
1057626,0,,,,
509023,0,,,,
1074914,1,370,darwintrust,678,125
500395,0,,,,
1078660,1,655,iowyfc,260,171
296370,0,,,,
326944,0,,,,
1006714,0,,,,
1091168,0,,,,
296990,0,,,,
1022363,0,,,,
292837,0,,,,
518806,0,,,,
1056821,0,,,,
288260,1,3063,HaemoSocUK,3283,684
503724,0,,,,
1012737,1,9979,bd_cvs,1109,1787
518523,1,79,@glynneathtc,101,99
289834,0,,,,
521672,0,,,,
1000709,0,,,,
1069086,1,2523,sloughcvs,1188,474
282716,0,,,,
1059959,0,,,,
1052576,0,,,,
1071781,0,,,,
279882,1,12502,thecsp,38418,1233
1021647,0,,,,
258322,1,409,reacontroller,154,235
1000756,0,,,,
1076217,1,4818,autismberkshire,1312,1297
325121,0,,,,
800897,0,,,,
257345,0,,,,
305841,0,,,,
327055,0,,,,
521234,0,,,,
255249,0,,,,
517817,1,1631,ifbb_uk,1732,1614
256979,1,7938,polkatheatre,16992,2077
1051867,0,,,,
1055165,0,,,,
1060583,0,,,,
1068364,1,1780,skippko,795,718
1062013,0,,,,
261347,0,,,,
247662,1,223,LindleyET,68,21
241990,1,3418,royalmicrosoc,2752,538
1009677,0,,,,
1058130,1,3333,helmsleyarts,2524,1061
248470,0,,,,
244866,0,,,,
1074486,0,,,,
249148,0,,,,
1072637,0,,,,
1074518,0,,,,
1056609,0,,,,
1089339,0,,,,
247081,1,388,Alythsyn,224,35
1063781,0,,,,
1000423,1,5,ioclondon,54,0
1062547,0,,,,
1061308,1,4171,UFAorg,1625,1727
250926,0,,,,
248192,1,373,BUWales,389,353
1090540,1,4787,thrombosisuk,3966,461
1068909,0,,,,
246460,0,,,,
243017,1,,LincsYMCA,,
238372,1,25518,SomersetWT,14712,1380
1054824,1,5190,croydonhealth,3014,1048
1063972,1,26,TAN_DANCE_LTD,154,180
237829,0,,,,
1057620,1,,barprobonounit,,
1064136,0,,,,
1088792,0,,,,
1075210,0,,,,
248767,0,,,,
1081870,0,,,,
1082208,1,9560,FlavelArts,1656,318
250658,1,960,YMCAManchester,571,542
505870,0,,,,
1003525,0,,,,
1054595,0,,,,
290510,0,,,,
241527,0,,,,
1055692,0,,,,
297610,0,,,,
1008156,0,,,,
240702,1,1708,LondonOrat,3158,58
293475,1,416,shadwellbasin,541,87
261898,0,,,,
1052657,0,,,,
296915,0,,,,
800412,0,,,,
312091,0,,,,
249338,1,28904,SHINEUKCharity,16357,10848
1070276,1,243,ctrccg,293,192
288001,0,,,,
1084209,1,2067,GMRochdale,232,11
247773,0,,,,
261726,0,,,,
1050892,1,981,BF_NHS,743,606
258474,1,2169,HealthySkin4All,4737,526
285490,0,,,,
279817,1,312,lettonhall,195,98
282013,0,,,,
262777,1,4849,suffolkwildlife,10511,1153
509649,0,,,,
283715,0,,,,
1051774,0,,,,
250851,1,741,UKBahaiOPA,851,365
307252,0,,,,
251765,1,5587,GilesTerera,10847,633
702715,0,,,,
284838,0,,,,
1051463,0,,,,
287813,0,,,,
249810,0,,,,
1056367,1,2130,@ccberkshire,742,657
290568,0,,,,
1063676,1,1743,MGNJointRailway,2323,710
249515,0,,,,
295847,0,,,,
239992,1,10694,KentWildlife,12458,2251
240531,1,11767,MothersUnion,5131,950
286212,0,,,,
1001991,0,,,,
250523,1,,stjohnwales,,
1003739,0,,,,
1016818,0,,,,
261793,0,,,,
230973,0,,,,
1058339,0,,,,
250397,1,12720,ISTDdance,9402,1090
218651,0,,,,
1061118,0,,,,
251232,1,14088,royalwelshshow,17713,2608
248119,0,,,,
249685,1,,hashtag,,
1064975,1,2885,raceontheagenda,5223,319
1056035,1,,WAYC_Youth,,
250216,1,15820,ThePlaceLondon,26237,1533
1090620,0,,,,
246754,0,,,,
259649,0,,,,
1093601,0,,,,
1072529,1,54,uct_uttlesford,197,168
1092207,1,1009,technionuk,935,880
1075447,1,1525,4SightVS,1097,1294
1071945,1,5215,JulianHouseUK,3445,594
249002,1,17572,IAMRoadSmart,15539,2304
234283,0,,,,
1071315,1,1109,The_Bridge_UK,737,745
1074895,0,,,,
210161,1,11549,geolsoc,40658,673
1084191,1,1108,oasischurchbham,346,149
1058981,0,,,,
238436,1,7102,yvonnearnaud,7455,1174
1079008,0,,,,
1064133,0,,,,
1081496,0,,,,
210065,1,7341,EssexWildlife,13187,2779
249860,0,,,,
240424,0,,,,
214466,0,,,,
242452,0,,,,
223668,1,14086,SightSupportHEY,2390,1932
250837,0,,,,
245456,1,5991,concrete5,5843,5855
249882,0,,,,
247828,0,,,,
229119,1,903,DurhamComAction,919,378
249100,1,6261,leicestercofe,4517,1048
213121,0,,,,
223240,0,,,,
250277,0,,,,
250306,0,,,,
207823,0,,,,
209174,0,,,,
210031,1,14917,ICANcharity,14645,2913
210066,0,,,,
294354,1,7408,sallylight17,2049,310
249276,1,3664,CofEWinchester,3671,1447
249355,0,,,,
1127431,0,,,,
262259,1,18394,TheatreRNorwich,18736,764
229226,0,,,,
210119,1,5387,starandgarter,5517,1483
249798,1,3474,CofEDevon,3578,323
207890,1,10264,RoySocChem,43420,1017
207326,1,3144,Scotscare,669,629
248245,1,4674,cofeguildford,4046,2155
210508,1,18318,RCPLondon,42189,4033
244067,1,20348,CIHhousing,30200,2733
248968,0,,,,
266518,0,,,,
234434,0,,,,
232759,1,11503,biblesociety,14074,2004
291824,1,2062,twinfairtrade,1781,1553
206002,1,18075,CombatStress,49508,6948
229662,0,,,,
313364,0,,,,
249972,1,6255,CanterburyDio,4278,248
306016,0,,,,
294745,1,12447,mayflower,22627,199
206394,1,22203,battersea_,191266,18215
326550,0,,,,
228636,1,20299,rcpsych,71931,4723
281942,0,,,,
1046769,0,,,,
249678,1,12091,SouthwarkCofE,5718,490
221124,1,27144,childrensociety,74468,2167
250037,1,1528,SalfordDiocese,2203,281
234216,0,,,,
258197,0,,,,
1053486,1,5290,TheCornwallCare,1232,1677
247954,1,6617,oxforddiocese,4145,523
208944,1,1135,KEVIIHospital,934,588
202151,1,3174,St_Monica_Trust,1964,706
1089681,1,67654,wix,411909,8216
1095167,0,,,,
1105187,0,,,,
1104230,1,5911,changeagentsuk,2589,2143
1099036,1,8,renewalground,5,2
1095807,0,,,,
1103806,0,,,,
1036419,1,9422,actionforme,8862,1871
1096782,0,,,,
1103308,0,,,,
1102694,0,,,,
1099374,0,,,,
1100855,1,2492,Buzzacott,1310,562
1103200,0,,,,
1102337,1,14233,idasfor100,4240,2991
1102087,0,,,,
1096304,1,379,wfcdereham,201,323
1105462,0,,,,
1121164,0,,,,
1111534,0,,,,
1101927,0,,,,
1108821,0,,,,
1101450,1,,hashtag,,
1109294,1,124,TopKidsUK,50,83
1096105,0,,,,
1107981,0,,,,
1102028,1,4949,@CanonCollins,1951,764
1112055,1,7950,unitedsikhs,14215,1062
1094822,0,,,,
1096664,0,,,,
1098885,1,8614,BHChaplaincy,1551,429
1097107,0,,,,
1095237,0,,,,
1094952,0,,,,
1099824,1,17,TheKingsTable44,19,9
1096451,1,4168,hvoss_hereford,1302,451
1123045,0,,,,
1101942,1,1186,BCCteam,221,125
1122080,0,,,,
1097693,1,341,WildProject1,207,297
1120595,0,,,,
1097796,1,7447,NorthHertsCVS,1746,1624
1099908,0,,,,
1101413,0,,,,
1113359,1,2386,jon_conrathe,5605,5214
