,Has Twitter,Number of tweets in total,Twitter Handle,Twitter followers,Twitter following
212034,1,5394,ShipwreckedSoc,1623,1025
212143,0,,,,
212330,1,3178,theiopa,9601,1008
277682,1,381,Collingwood_Sch,244,67
800906,0,,,,
229151,0,,,,
212331,1,2883,sdc_org_uk,1892,1301
212517,1,979,sandpuk,865,477
283162,1,22,oakfield_care,143,82
229539,0,,,,
212808,1,5987,rcsnews,39109,2546
213252,0,,,,
279265,0,,,,
229631,0,,,,
230756,0,,,,
230264,1,4,Mile4asmile,3,41
213618,0,,,,
279313,1,611,PGLDurham,3310,1241
213280,1,11838,rcobsgyn,23685,907
213422,0,,,,
280428,1,62,loxdalecentre,62,73
231853,1,48,OxfordJewshCong,60,80
280927,1,1016,MoretonHallPrep,548,632
286614,1,2988,CalibreAudio,1688,2163
214339,1,2523,portlandcollege,1322,330
218626,1,14725,chtycommission,47657,1672
234993,1,11122,maddermarket,6526,2635
281720,0,,,,
288802,0,,,,
294146,0,,,,
518972,0,,,,
284858,0,,,,
291913,0,,,,
295219,0,,,,
328026,0,,,,
227689,0,,,,
284944,1,1947,Painshill,1831,715
286096,0,,,,
287106,1,3997,dsuksnowsport,6104,724
287527,1,3283,indparltrust,1168,1803
288365,1,6733,cusuonline,6615,440
214364,0,,,,
288442,0,,,,
801790,1,4119,FlorisBooks,3838,897
232234,1,46,RspcaBurton,186,191
526145,0,,,,
213890,1,49751,savechildrenuk,181613,1767
214379,0,,,,
232743,0,,,,
230902,1,7627,TheAbbeyfield,11035,1329
232255,0,,,,
233377,0,,,,
289547,0,,,,
509280,0,,,,
215199,1,50112,DiabetesUK,169323,10607
525916,0,,,,
216032,1,38140,bloodwise_uk,32167,3482
235163,1,1877,archives,43,381
290464,1,252,GrahamLaytonT,117,151
267045,0,,,,
216092,0,,,,
216291,0,,,,
235961,0,,,,
232670,1,3343,CR_Mirfield,2180,861
290469,1,4451,anat_soc,3721,2370
236065,0,,,,
216647,0,,,,
236093,0,,,,
290836,1,,i,,
517324,1,5350,uniontheology,3440,2295
519514,0,,,,
237934,0,,,,
290766,0,,,,
312905,0,,,,
216726,0,,,,
224337,0,,,,
216865,0,,,,
216873,0,,,,
292569,1,2654,arthritis_actn,1116,379
